Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,5.550000190734863,5.599999904632568,5.533332824707031,5.5833330154418945,3.3035528659820557,985500
1996-01-02,5.466666221618652,5.566666126251221,5.288887977600098,5.372221946716309,3.178642511367798,7470000
1996-01-03,5.133333206176758,5.254444122314453,5.101110935211182,5.199999809265137,3.0767416954040527,15160500
1996-01-04,5.199999809265137,5.332221984863281,5.144443988800049,5.29777717590332,3.1345953941345215,12397500
1996-01-05,5.29777717590332,5.277777194976807,5.188888072967529,5.202221870422363,3.0780563354492188,5008500
1996-01-08,5.202221870422363,5.238887786865234,5.011110782623291,5.042222023010254,2.9833872318267822,12645000
1996-01-09,5.042222023010254,5.108888149261475,4.983333110809326,5.02888822555542,2.975499391555786,8968500
1996-01-10,5.02888822555542,5.111111164093018,4.977777004241943,5.012221813201904,2.965637683868408,2988000
1996-01-11,5.012221813201904,5.043333053588867,4.988887786865234,5.038887977600098,2.981415033340454,2227500
1996-01-12,5.038887977600098,5.133333206176758,5.02222204208374,5.088888168334961,3.010998487472534,4806000
1996-01-15,5.088888168334961,5.111111164093018,5.027777194976807,5.0344438552856445,2.978785991668701,2020500
1996-01-16,5.0344438552856445,5.067777156829834,5.0,5.018887996673584,2.96958065032959,3082500
1996-01-17,5.018887996673584,5.0444440841674805,5.002222061157227,5.017776966094971,2.9689247608184814,3078000
1996-01-18,5.017776966094971,4.997776985168457,4.888887882232666,4.955554962158203,2.932107925415039,5148000
1996-01-19,4.955554962158203,4.966666221618652,4.627777099609375,4.741110801696777,2.8052258491516113,16128000
1996-01-22,4.741110801696777,4.77555513381958,4.645555019378662,4.70777702331543,2.7855021953582764,3946500
1996-01-23,4.70777702331543,4.747776985168457,4.377777099609375,4.416666030883789,2.613257884979248,7947000
1996-01-24,4.416666030883789,4.477777004241943,4.150000095367432,4.225554943084717,2.500180959701538,15763500
1996-01-25,4.225554943084717,4.222221851348877,4.144443988800049,4.18222188949585,2.4745421409606934,8140500
1996-01-26,4.18222188949585,4.18222188949585,4.18222188949585,4.18222188949585,2.4745421409606934,0
1996-01-29,4.18222188949585,4.505555152893066,4.167777061462402,4.416666030883789,2.613257884979248,9639000
